Num,Street,Ward,Year,count,name_label,Location,address,Addr,person_id,wkt
78,Maynard Rd,2,2024,1,1 American Hornbeam,Tree Belt,78 Maynard Rd,78 Maynard Rd,7,POINT (105317.7 897380.2)
78,Moser St,2,2024,13,"8 Sweetgum ""Moraine""<br>5 Hardy Rubber Tree",Tree Belt,78 Moser St,78 Moser St,15,POINT (105228 896427.1)
78,Moser St,2,2025,1,1 Sweetgum 'Moraine',Tree Belt,78 Moser St,78 Moser St,15,POINT (105221.4 896427.2)
78,Pomeroy Terr,3,2025,1,1 Kentucky Coffeetree Espresso,Tree Belt,78 Pomeroy Terr,78 Pomeroy Terr,5,POINT (107443.2 897223.4)
79,Milton St,5,2025,1,1 Common Hackberry,Setback,79 Milton St,79 Milton St,8,POINT (104847.9 897709)
79,Woodlawn Ave,2,2023,1,1 Silver Linden,Tree Belt,79 Woodlawn Ave,79 Woodlawn Ave,14,POINT (105551.7 898064.5)
79,Woodlawn Ave,2,2024,1,1 Serviceberry,Tree Belt,79 Woodlawn Ave,79 Woodlawn Ave,14,POINT (105545.1 898064.6)
81,"Main St, Florence",5,2025,1,1 Blackgum,Setback,"81 Main St, Florence","81 Main St, Florence",11,POINT (103522.8 899024.9)
86,Water St,7,2024,2,2 Kentucky Coffee Tree,Tree Belt,86 Water St,86 Water St,9,POINT (100974 900719.1)
87,Locust St,5,2023,3,3 Winterking Hawthorne,Tree Belt,87 Locust St,87 Locust St,8,POINT (104767.5 898666.4)
91,Barrett St,1,2023,2,"1 Gingko ""Autumn Gold""<br>1 Redbud",Setback,91 Barrett St,91 Barrett St,14,POINT (105936.7 898812)
96,South St,3,2024,2,2 Amur Maackia,Tree Belt,96 South St,96 South St,12,POINT (106601.1 896579.8)
97,Locust St,5,2023,2,2 Winterking Hawthorne,Tree Belt,97 Locust St,97 Locust St,8,POINT (104737.4 898690.1)
99,Clement St,5,2023,3,2 Redbud<br>1 Bald Cypress,"Setback, Tree Belt",99 Clement St,99 Clement St,8,POINT (103890.4 896979.7)
99,Massasoit St,2,2023,3,2 Serviceberry<br>1 Yellowwood,Setback,99 Massasoit St,99 Massasoit St,14,POINT (105718.7 898108.7)
100,Bridge Rd,7,2025,28,8 Serviceberry 'Autumn Brilliance'<br>6 Tulip Tree 'Emerald City'<br>5 City Slicker River Birch<br>4 Common Hackberry<br>3 White Oak<br>2 New Harmony Elm,Setback,100 Bridge Rd,100 Bridge Rd,16,POINT (103013.5 900097.4)
109,Milton St,5,2023,1,1 Silver Linden,Tree Belt,109 Milton St,109 Milton St,8,POINT (104762.6 897609)
111,Riverside Dr,5,2023,1,1 Sweetgum 'Moraine',Setback,111 Riverside Dr,111 Riverside Dr,8,POINT (104626.4 897770.9)
117,Barrett St,1,2023,1,1 Bald Cypress,Tree Belt,117 Barrett St,117 Barrett St,14,POINT (105820.4 898827.1)
117,Massasoit St,2,2023,1,"1 Gingko ""Autumn Gold""",Tree Belt,117 Massasoit St,117 Massasoit St,14,POINT (105749.1 898185.8)
117,South St,4,2024,1,1 Amur Maackia,Tree Belt,117 South St,117 South St,10,POINT (106541.4 896481.3)
121,Park St,7,2025,3,3 Sweetgum 'Moraine',RoW,121 Park St,121 Park St,11,POINT (103323.8 899008.4)
123,Lake St,7,2023,1,1 Bald Cypress,Tree Belt,123 Lake St,123 Lake St,6,POINT (103336.4 899952.6)
